Movie Name, IMDb Rating, Popularity, Release Date, Box Office, Runtime, Genre, Director, Cast, Production Company, Country, Language
Yokkiyan Varan Somba Thooki Ulla Vai,,,,,2 hours 6 minutes,['Drama'],['Swamyraaja'],"['Priya Menon', 'Vijay R. Nagaraj', 'Nellai Siva']",[],,['Tamil']
Zero KMS,6.7,,"May 29, 2018 (India)",,,['Action'],[],"['Naseeruddin Shah', 'Tanmay Dhanania', 'Satyadeep Misra']",[],India,['Hindi']
Marjaney,7.5,,,$910,2 hours 20 minutes,['Action'],['Amardeep Singh Gill'],"['Sippy Gill', 'Prreit Kamal', 'Sonpreet Jawanda']",[],,['Punjabi']
College Road,8.6,,,,2 hours 4 minutes,['Crime'],['Jai Amar Singh'],"['Ansar', 'Monica Chinnakotla', 'Maheswaran Gandhi']",[],,['Tamil']
Arjun,7.2,,,,2 hours 30 minutes,"['Action', 'Crime', 'Drama']",['Hara Patnaik'],"['Anubhav Mohanty', 'Rameshwari', 'Gargi Mohanty']","['Asutosh Films', 'Brajaraj Movies']",,['Oriya']
Bhooter Bhabishyat,8.1,,"March 14, 2012 (India)",,2 hours 3 minutes,"['Comedy', 'Fantasy', 'Horror']",['Anik Datta'],"['Swastika Mukherjee', 'Parambrata Chattopadhyay', 'Sabyasachi Chakrabarty']",[],India,['Bengali']
Pushpaka Vimana,8.6,,"November 27, 1987 (India)",,2 hours 5 minutes,"['Comedy', 'Drama']",['Singeetam Srinivasa Rao'],"['Kamal Haasan', 'Amala Akkineni', 'Tinnu Anand']","['Mandakini Chitra', 'Raajkamal Films International']",India,['None']
Jigiri Dosthu,6.9,,,,1 hour 49 minutes,['Comedy'],['Aran V'],"['Shariq Hassan', 'Aran V', 'Ammu Abhirami']","['SB Production', 'VVK Entertainment']",,['Tamil']
Kaaliyan,,,,,,['Action'],['S. Mahesh'],[],[],,"['Malayalam', 'Hindi', 'Tamil', 'Telugu', 'Kannada']"
Habji Gabji,7.3,,"June 3, 2022 (India)",,2 hours 7 minutes,"['Drama', 'Thriller']",['Raj Chakraborty'],"['Parambrata Chattopadhyay', 'Subhasree Ganguly', 'Samontak Dyuti Maitra']",[],India,['Bengali']
"AP Dhillon, Gurinder Gill: Excuses",,,,,2 minutes,['Musical'],[],[],[],,['Punjabi']
Immortal,6.9,,,,2 hours 29 minutes,"['Drama', 'Musical', 'Romance']",['Mehboob Khan'],"['Madhubala', 'Nimmi', 'Dilip Kumar']",[],,['Hindi']
